id_edo,estado,edad,poblacion,hombres,mujeres,ArH,ArM
,Total,0,10528322,5346943,5181379,,
,Total,5,11047537,5604175,5443362,102.88,206.30
,Total,10,10939937,5547613,5392324,99.74,95.24
,Total,15,11026112,5520121,5505991,106.56,107.25
,Total,20,9892271,4813204,5079067,98.98,98.13
,Total,25,8788177,4205975,4582202,95.17,96.36
,Total,30,8470798,4026031,4444767,98.55,97.25
,Total,35,8292987,3964738,4328249,107.50,109.00
,Total,40,7009226,3350322,3658904,98.70,95.97
,Total,45,5928730,2824364,3104366,98.19,97.67
,Total,50,5064291,2402451,2661840,102.36,105.22
,Total,55,3895365,1869537,2025828,96.39,95.45
,Total,60,3116466,1476667,1639799,99.61,105.09
,Total,65,2317265,1095273,1221992,93.19,91.38
,Total,70,1873934,873893,1000041,104.35,111.30
,Total,75,1245483,579689,665794,94.32,101.84
,Total,80,798936,355277,443659,80.89,107.19
,Total,85,703295,298739,404556,56.61,
,Total,NE,1397406,700219,697187,388.28,
1,Aguascalientes,0,121557,61941,59616,16.18,
1,Aguascalientes,5,128874,65572,63302,105.29,182.47
1,Aguascalientes,10,123806,62615,61191,99.23,93.77
1,Aguascalientes,15,121428,60636,60792,106.34,107.96
1,Aguascalientes,20,106305,51431,54874,97.77,96.91
1,Aguascalientes,25,93604,44568,49036,95.44,97.22
1,Aguascalientes,30,88726,41962,46764,98.58,97.73
1,Aguascalientes,35,86254,40569,45685,106.28,107.22
1,Aguascalientes,40,73084,34381,38703,99.67,97.43
1,Aguascalientes,45,60198,28420,31778,98.31,97.95
1,Aguascalientes,50,49980,23436,26544,101.06,103.61
1,Aguascalientes,55,37543,17960,19583,96.76,97.09
1,Aguascalientes,60,29258,13686,15572,98.27,102.05
1,Aguascalientes,65,21004,9895,11109,95.82,99.46
1,Aguascalientes,70,15254,6967,8287,94.42,98.12
1,Aguascalientes,75,10673,4862,5811,96.65,109.40
1,Aguascalientes,80,7228,3094,4134,82.28,81.71
1,Aguascalientes,85,6188,2659,3529,104.73,246.73
1,Aguascalientes,NE,4032,1984,2048,2.61,1.77
2,Baja California,0,293234,149167,144067,191.40,369.36
2,Baja California,5,303180,153886,149294,101.02,68.95
2,Baja California,10,305472,155483,149989,101.64,100.44
2,Baja California,15,299195,152077,147118,101.36,99.92
2,Baja California,20,286479,144597,141882,101.25,102.47
2,Baja California,25,265428,133546,131882,96.27,96.23
2,Baja California,30,264023,132857,131166,98.82,95.30
2,Baja California,35,264063,135331,128732,111.12,111.98
2,Baja California,40,215049,110722,104327,99.63,95.64
2,Baja California,45,171104,86928,84176,97.23,97.04
2,Baja California,50,136690,68093,68597,100.75,106.16
2,Baja California,55,97874,48250,49624,92.57,92.88
2,Baja California,60,75229,36151,39078,98.59,106.41
2,Baja California,65,52560,25086,27474,92.73,93.90
2,Baja California,70,37742,17956,19786,98.91,107.38
2,Baja California,75,24055,11223,12832,91.49,101.11
2,Baja California,80,14744,6578,8166,82.06,126.93
2,Baja California,85,11524,4810,6714,37.80,40.24
2,Baja California,NE,37425,18869,18556,105.86,130.37
3,Baja California Sur,0,60758,30840,29918,124.59,119.99
3,Baja California Sur,5,60334,30636,29698,101.81,91.81
3,Baja California Sur,10,57380,29340,28040,97.21,96.46
3,Baja California Sur,15,57713,29730,27983,99.74,100.12
3,Baja California Sur,20,58690,30273,28417,102.05,102.01
3,Baja California Sur,25,57525,29600,27925,100.33,98.40
3,Baja California Sur,30,56159,28734,27425,101.88,98.66
3,Baja California Sur,35,52235,26810,25425,106.19,106.08
3,Baja California Sur,40,42163,21760,20403,98.33,96.88
3,Baja California Sur,45,34308,17451,16857,96.80,96.29
3,Baja California Sur,50,28122,14297,13825,102.73,107.14
3,Baja California Sur,55,20188,10384,9804,94.96,95.07
3,Baja California Sur,60,14895,7573,7322,97.03,102.41
3,Baja California Sur,65,10279,5225,5054,94.54,99.66
3,Baja California Sur,70,7012,3480,3532,92.70,97.38
3,Baja California Sur,75,4598,2283,2315,95.84,112.94
3,Baja California Sur,80,2805,1284,1521,77.02,117.53
3,Baja California Sur,85,2525,1051,1474,35.23,70.31
3,Baja California Sur,NE,9337,4682,4655,23.20,21.87
4,Campeche,0,76925,39317,37608,176.94,290.03
4,Campeche,5,78299,39758,38541,98.82,71.10
4,Campeche,10,81314,41146,40168,101.03,98.46
4,Campeche,15,82920,41693,41227,106.41,105.73
4,Campeche,20,76388,37219,39169,100.25,99.31
4,Campeche,25,68197,32562,35635,95.48,95.84
4,Campeche,30,64927,30991,33936,99.00,97.49
4,Campeche,35,61896,30049,31847,107.62,109.61
4,Campeche,40,50522,24853,25669,97.37,94.34
4,Campeche,45,42811,21000,21811,98.80,99.88
4,Campeche,50,35658,17658,18000,100.46,101.00
4,Campeche,55,28316,14154,14162,100.14,101.13
4,Campeche,60,21379,10611,10768,97.58,103.21
4,Campeche,65,15079,7595,7484,88.94,86.12
4,Campeche,70,12890,6468,6422,108.97,119.52
4,Campeche,75,8320,4276,4044,93.41,99.17
4,Campeche,80,5254,2687,2567,79.41,89.16
4,Campeche,85,4957,2491,2466,84.73,201.28
4,Campeche,NE,6389,3193,3196,4.77,3.52
5,Coahuila de Zaragoza,0,258246,131289,126957,186.16,345.16
5,Coahuila de Zaragoza,5,270736,137858,132878,103.09,71.87
5,Coahuila de Zaragoza,10,268193,136153,132040,100.73,96.67
5,Coahuila de Zaragoza,15,261942,132477,129465,105.31,106.23
5,Coahuila de Zaragoza,20,230132,115443,114689,97.54,97.83
5,Coahuila de Zaragoza,25,210236,104230,106006,94.10,94.22
5,Coahuila de Zaragoza,30,216325,106088,110237,102.20,101.43
5,Coahuila de Zaragoza,35,211770,103371,108399,107.42,107.31
5,Coahuila de Zaragoza,40,177554,86374,91180,98.00,94.95
5,Coahuila de Zaragoza,45,150271,72906,77365,99.00,99.17
5,Coahuila de Zaragoza,50,125961,60909,65052,101.66,104.59
5,Coahuila de Zaragoza,55,95121,46924,48197,95.40,93.87
5,Coahuila de Zaragoza,60,77527,37467,40060,101.60,108.03
5,Coahuila de Zaragoza,65,55667,26827,28840,92.71,91.08
5,Coahuila de Zaragoza,70,42832,20407,22425,101.97,109.18
5,Coahuila de Zaragoza,75,27610,13197,14413,94.09,102.69
5,Coahuila de Zaragoza,80,17076,7645,9431,81.28,119.36
5,Coahuila de Zaragoza,85,13232,5614,7618,42.11,44.55
5,Coahuila de Zaragoza,NE,37960,19018,18942,107.78,132.76
6,Colima,0,58263,29676,28587,120.26,115.50
6,Colima,5,59869,30334,29535,100.47,91.54
6,Colima,10,59473,30707,28766,99.25,96.70
6,Colima,15,62323,31543,30780,104.80,103.90
6,Colima,20,60070,29487,30583,102.50,102.02
6,Colima,25,53136,25994,27142,96.14,95.60
6,Colima,30,50521,24590,25931,98.63,97.20
6,Colima,35,48863,23868,24995,106.81,109.10
6,Colima,40,41432,20101,21331,97.17,94.40
6,Colima,45,35812,17505,18307,99.04,98.06
6,Colima,50,30917,15247,15670,104.84,107.63
6,Colima,55,23301,11581,11720,95.77,94.68
6,Colima,60,18355,8939,9416,97.45,100.77
6,Colima,65,13806,6765,7041,97.64,100.43
6,Colima,70,10239,4918,5321,97.00,99.74
6,Colima,75,6976,3375,3601,96.87,113.39
6,Colima,80,4565,2050,2515,73.86,87.10
6,Colima,85,4787,2176,2611,72.73,189.61
6,Colima,NE,7847,3934,3913,2.85,2.15
7,Chiapas,0,540459,273660,266799,192.72,370.09
7,Chiapas,5,554692,280057,274635,101.30,68.52
7,Chiapas,10,549896,279274,270622,102.96,98.49
7,Chiapas,15,530233,262407,267826,107.80,108.43
7,Chiapas,20,438019,207582,230437,95.87,95.22
7,Chiapas,25,366537,170660,195877,93.56,95.77
7,Chiapas,30,335370,157234,178136,99.53,100.15
7,Chiapas,35,307983,145306,162677,105.19,107.74
7,Chiapas,40,246620,119049,127571,95.74,92.83
7,Chiapas,45,212924,103387,109537,101.08,103.70
7,Chiapas,50,174407,85517,88890,99.20,99.50
7,Chiapas,55,137559,69026,68533,98.31,97.58
7,Chiapas,60,110499,54902,55597,102.31,111.19
7,Chiapas,65,78922,38302,40620,85.71,77.90
7,Chiapas,70,68500,34470,34030,117.77,136.73
7,Chiapas,75,39750,20238,19512,86.54,88.39
7,Chiapas,80,24678,12299,12379,78.05,109.70
7,Chiapas,85,23132,11278,11854,55.75,101.13
7,Chiapas,NE,56400,28159,28241,32.20,29.21
8,Chihuahua,0,322676,163607,159069,164.73,242.18
8,Chihuahua,5,335064,170477,164587,103.84,78.76
8,Chihuahua,10,324661,164749,159912,98.96,94.49
8,Chihuahua,15,322034,162488,159546,105.61,106.72
8,Chihuahua,20,285872,142953,142919,98.97,98.85
8,Chihuahua,25,255036,126385,128651,94.64,96.37
8,Chihuahua,30,251304,124137,127167,97.43,95.34
8,Chihuahua,35,259968,128448,131520,109.75,110.64
8,Chihuahua,40,222756,109944,112812,100.95,97.08
8,Chihuahua,45,183153,89363,93790,98.24,96.99
8,Chihuahua,50,149069,71988,77081,101.62,107.20
8,Chihuahua,55,108607,52311,56296,91.36,90.65
8,Chihuahua,60,89542,42534,47008,99.94,107.04
8,Chihuahua,65,68809,32811,35998,95.37,92.41
8,Chihuahua,70,54419,26273,28146,106.47,113.24
8,Chihuahua,75,34386,16544,17842,92.66,98.07
8,Chihuahua,80,20704,9435,11269,82.50,145.58
8,Chihuahua,85,14865,6328,8537,20.68,36.04
8,Chihuahua,NE,103540,51770,51770,32.25,35.16
9,Distrito Federal,0,618245,314701,303544,162.78,240.46
9,Distrito Federal,5,658948,334885,324063,103.14,79.75
9,Distrito Federal,10,660345,334674,325671,95.87,93.13
9,Distrito Federal,15,723372,363265,360107,102.76,102.83
9,Distrito Federal,20,753404,372368,381036,103.98,102.74
9,Distrito Federal,25,726696,352969,373727,99.66,99.32
9,Distrito Federal,30,702642,335988,366654,96.71,92.99
9,Distrito Federal,35,722214,341865,380349,108.33,110.86
9,Distrito Federal,40,629563,295151,334412,98.72,95.94
9,Distrito Federal,45,555481,256078,299403,97.47,95.28
9,Distrito Federal,50,506310,230325,275985,105.86,109.19
9,Distrito Federal,55,392186,179065,213121,96.44,93.20
9,Distrito Federal,60,315793,141010,174783,101.09,107.06
9,Distrito Federal,65,227625,99910,127715,92.41,91.98
9,Distrito Federal,70,179329,75227,104102,99.83,106.69
9,Distrito Federal,75,124499,50795,73704,94.73,102.55
9,Distrito Federal,80,85121,32012,53109,84.92,128.36
9,Distrito Federal,85,71281,24600,46681,37.58,27.80
9,Distrito Federal,NE,198026,98895,99131,185.46,292.30
10,Durango,0,161700,82046,79654,89.32,62.23
10,Durango,5,166853,84823,82030,101.58,106.95
10,Durango,10,167180,84969,82211,100.64,95.95
10,Durango,15,166366,84036,82330,108.19,107.94
10,Durango,20,143377,70380,72997,99.82,100.34
10,Durango,25,117714,56978,60736,90.76,91.21
10,Durango,30,115294,55171,60123,99.21,100.27
10,Durango,35,112837,54244,58593,107.12,108.13
10,Durango,40,96859,46107,50752,98.93,96.41
10,Durango,45,82516,38967,43549,98.12,97.40
10,Durango,50,70274,33322,36952,102.55,106.16
10,Durango,55,53875,26022,27853,95.07,94.02
10,Durango,60,44693,21418,23275,99.69,105.41
10,Durango,65,34601,16948,17653,94.06,89.91
10,Durango,70,29733,14618,15115,109.55,115.51
10,Durango,75,19595,9739,9856,95.63,99.41
10,Durango,80,12039,5751,6288,82.83,120.74
10,Durango,85,9020,4148,4872,41.58,89.49
10,Durango,NE,28408,14203,14205,10.09,9.11
11,Guanajuato,0,547466,277260,270206,180.10,318.79
11,Guanajuato,5,579121,293697,285424,102.89,72.93
11,Guanajuato,10,580600,293612,286988,102.09,97.13
11,Guanajuato,15,570965,281501,289464,107.32,107.97
11,Guanajuato,20,493167,230992,262175,96.70,96.21
11,Guanajuato,25,425291,196248,229043,93.70,95.48
11,Guanajuato,30,407712,187888,219824,99.57,99.23
11,Guanajuato,35,387687,181162,206525,106.97,107.80
11,Guanajuato,40,324654,150828,173826,98.89,97.04
11,Guanajuato,45,266465,123887,142578,96.83,96.48
11,Guanajuato,50,225760,105052,120708,101.84,105.34
11,Guanajuato,55,174400,82431,91969,96.52,95.87
11,Guanajuato,60,140229,65751,74478,99.53,104.70
11,Guanajuato,65,105229,49694,55535,93.60,92.11
11,Guanajuato,70,86650,40438,46212,103.71,110.01
11,Guanajuato,75,60341,28292,32049,94.94,99.86
11,Guanajuato,80,42362,19159,23203,86.45,92.23
11,Guanajuato,85,37120,16033,21087,92.52,180.84
11,Guanajuato,NE,31153,15500,15653,15.87,11.93
12,Guerrero,0,353009,179246,173763,173.56,296.87
12,Guerrero,5,378197,191053,187144,101.05,72.32
12,Guerrero,10,393378,198888,194490,105.88,100.51
12,Guerrero,15,372191,184645,187546,109.62,110.12
12,Guerrero,20,290684,137993,152691,93.22,92.51
12,Guerrero,25,237815,111428,126387,91.91,95.56
12,Guerrero,30,223482,104473,119009,99.14,100.48
12,Guerrero,35,211923,99320,112603,105.43,107.56
12,Guerrero,40,178482,83944,94538,96.88,94.59
12,Guerrero,45,158413,73976,84437,99.41,99.97
12,Guerrero,50,137260,64884,72376,102.01,102.58
12,Guerrero,55,110858,53232,57626,99.48,100.08
12,Guerrero,60,89041,42136,46905,96.79,100.97
12,Guerrero,65,72733,33837,38896,92.24,87.32
12,Guerrero,70,66668,31228,35440,114.50,122.17
12,Guerrero,75,43749,20709,23040,95.20,99.48
12,Guerrero,80,26491,12278,14213,76.90,80.36
12,Guerrero,85,24786,11225,13561,96.17,207.66
12,Guerrero,NE,19608,11066,8542,15.73,11.62
13,Hidalgo,0,255202,129514,125688,174.40,289.88
13,Hidalgo,5,271181,137456,133725,104.60,76.79
13,Hidalgo,10,263026,133304,129722,98.04,90.39
13,Hidalgo,15,269602,134493,135109,112.32,117.08
13,Hidalgo,20,226170,106172,119998,93.84,91.21
13,Hidalgo,25,201034,91783,109251,93.45,96.34
13,Hidalgo,30,197047,90262,106785,100.15,100.27
13,Hidalgo,35,191131,88478,102653,106.30,106.89
13,Hidalgo,40,162857,76199,86658,98.76,96.36
13,Hidalgo,45,140325,65837,74488,98.67,98.24
13,Hidalgo,50,120304,57248,63056,102.12,103.14
13,Hidalgo,55,95265,46282,48983,99.36,99.79
13,Hidalgo,60,74476,35915,38561,97.01,99.75
13,Hidalgo,65,57669,27765,29904,95.13,93.77
13,Hidalgo,70,48068,22456,25612,105.91,112.37
13,Hidalgo,75,31279,14642,16637,93.36,101.04
13,Hidalgo,80,19997,8912,11085,78.89,90.12
13,Hidalgo,85,19226,7952,11274,81.71,192.89
13,Hidalgo,NE,21159,10552,10607,5.83,4.35
14,Jalisco,0,694948,353751,341197,186.25,341.70
14,Jalisco,5,727075,369308,357767,103.18,72.27
14,Jalisco,10,714393,362097,352296,99.27,95.74
14,Jalisco,15,715003,360175,354828,104.21,103.76
14,Jalisco,20,669088,329145,339943,101.60,100.91
14,Jalisco,25,592033,287723,304310,97.16,98.14
14,Jalisco,30,548117,263140,284977,96.39,93.81
14,Jalisco,35,535234,258270,276964,108.33,111.16
14,Jalisco,40,446601,213669,232932,98.52,96.46
14,Jalisco,45,371541,175474,196067,95.95,95.30
14,Jalisco,50,324277,152109,172168,102.83,107.28
14,Jalisco,55,254380,120383,133997,95.75,93.40
14,Jalisco,60,210465,99337,111128,102.22,106.75
14,Jalisco,65,155337,73976,81361,95.76,95.13
14,Jalisco,70,118204,55172,63032,99.09,104.05
14,Jalisco,75,80747,37383,43364,94.71,106.08
14,Jalisco,80,53964,23768,30196,79.47,98.37
14,Jalisco,85,52606,22431,30175,66.86,146.79
14,Jalisco,NE,86669,43330,43339,11.62,9.42
15,México,0,1426612,723127,703485,179.98,308.40
15,México,5,1498274,760231,738043,105.10,75.93
15,México,10,1429028,723622,705406,96.83,91.98
15,México,15,1467148,734320,732828,105.47,106.70
15,México,20,1364380,668827,695553,100.87,100.20
15,México,25,1233854,591831,642023,95.86,96.55
15,México,30,1198515,565928,632587,97.71,95.63
15,México,35,1193988,566526,627462,108.50,110.04
15,México,40,1003492,478370,525122,99.49,96.45
15,México,45,831164,395154,436010,97.79,96.53
15,México,50,695328,329825,365503,103.12,107.05
15,México,55,509884,244538,265346,94.87,93.41
15,México,60,392349,185672,206677,100.01,107.33
15,México,65,270138,126755,143383,91.48,92.03
15,México,70,200542,91438,109104,98.81,106.82
15,México,75,129423,58326,71097,93.52,105.10
15,México,80,78893,33293,45600,79.16,117.94
15,México,85,66302,25793,40509,40.71,52.02
15,México,NE,186548,93410,93138,77.39,86.80
16,Michoacán de Ocampo,0,425698,215617,210081,137.59,154.95
16,Michoacán de Ocampo,5,434860,220017,214843,100.20,84.14
16,Michoacán de Ocampo,10,443721,223553,220168,100.59,95.79
16,Michoacán de Ocampo,15,453827,224452,229375,109.83,110.12
16,Michoacán de Ocampo,20,392338,185190,207148,98.87,97.95
16,Michoacán de Ocampo,25,322064,150160,171904,92.05,93.37
16,Michoacán de Ocampo,30,303108,141058,162050,98.30,98.94
16,Michoacán de Ocampo,35,290448,136834,153614,106.66,108.71
16,Michoacán de Ocampo,40,247704,115521,132183,97.92,96.03
16,Michoacán de Ocampo,45,212627,99106,113521,97.29,96.51
16,Michoacán de Ocampo,50,188305,88214,100091,103.69,106.64
16,Michoacán de Ocampo,55,147873,71049,76824,97.16,95.72
16,Michoacán de Ocampo,60,122951,58031,64920,99.34,103.90
16,Michoacán de Ocampo,65,96347,45789,50558,94.05,91.38
16,Michoacán de Ocampo,70,83990,39343,44647,106.50,111.48
16,Michoacán de Ocampo,75,58813,28096,30717,97.01,102.52
16,Michoacán de Ocampo,80,40032,18583,21449,82.75,94.71
16,Michoacán de Ocampo,85,36994,16816,20178,77.74,116.00
16,Michoacán de Ocampo,NE,49337,24680,24657,51.28,46.11
17,Morelos,0,155669,79434,76235,144.71,186.85
17,Morelos,5,166908,85100,81808,103.62,85.33
17,Morelos,10,167487,84822,82665,98.16,92.05
17,Morelos,15,175625,87725,87900,109.65,110.61
17,Morelos,20,155671,75194,80477,100.09,98.93
17,Morelos,25,133544,62528,71016,92.70,93.80
17,Morelos,30,128812,59712,69100,97.57,97.39
17,Morelos,35,129072,59870,69202,107.66,110.19
17,Morelos,40,111381,51504,59877,97.84,94.71
17,Morelos,45,97105,45411,51694,98.94,97.89
17,Morelos,50,86282,40293,45989,104.30,106.59
17,Morelos,55,66904,31856,35048,96.75,94.35
17,Morelos,60,53604,25556,28048,100.80,106.48
17,Morelos,65,40104,18850,21254,92.57,91.27
17,Morelos,70,32988,15169,17819,102.06,106.09
17,Morelos,75,23535,10876,12659,99.83,109.47
17,Morelos,80,14917,6621,8296,80.33,101.28
17,Morelos,85,12730,5609,7121,58.80,96.37
17,Morelos,NE,24889,12458,12431,41.70,37.31
18,Nayarit,0,106044,54138,51906,164.78,234.10
18,Nayarit,5,104943,53253,51690,99.07,75.02
18,Nayarit,10,104308,53367,50941,99.33,96.46
18,Nayarit,15,107191,54204,52987,106.88,106.20
18,Nayarit,20,96693,48059,48634,101.96,102.47
18,Nayarit,25,82067,40065,42002,92.12,91.90
18,Nayarit,30,79520,38922,40598,98.51,97.41
18,Nayarit,35,78128,38953,39175,110.14,113.10
18,Nayarit,40,64675,31810,32865,96.25,92.50
18,Nayarit,45,55916,27147,28769,97.97,99.43
18,Nayarit,50,48769,23609,25160,100.81,101.96
18,Nayarit,55,39899,19693,20206,99.77,100.38
18,Nayarit,60,32069,15866,16203,97.98,99.98
18,Nayarit,65,25368,12694,12674,96.22,93.97
18,Nayarit,70,21066,10519,10547,106.81,111.45
18,Nayarit,75,13928,7002,6926,95.47,104.11
18,Nayarit,80,8690,4150,4540,76.58,79.38
18,Nayarit,85,8270,3836,4434,97.48,243.53
18,Nayarit,NE,7435,3720,3715,3.48,2.43
19,Nuevo León,0,413360,210075,203285,188.56,350.95
19,Nuevo León,5,430525,219102,211423,103.98,72.18
19,Nuevo León,10,415368,211365,204003,99.55,97.97
19,Nuevo León,15,406428,205518,200910,99.25,98.60
19,Nuevo León,20,401723,202766,198957,101.77,103.21
19,Nuevo León,25,384086,192963,191123,97.96,97.39
19,Nuevo León,30,383736,191204,192532,99.40,95.83
19,Nuevo León,35,383357,191768,191589,109.49,110.18
19,Nuevo León,40,321008,159078,161930,99.36,96.47
19,Nuevo León,45,260606,128429,132177,96.51,95.25
19,Nuevo León,50,220801,107080,113721,103.27,109.25
19,Nuevo León,55,162140,78944,83196,92.55,90.42
19,Nuevo León,60,132607,63516,69091,101.43,109.14
19,Nuevo León,65,96803,46293,50510,93.32,90.71
19,Nuevo León,70,75631,35695,39936,104.33,113.34
19,Nuevo León,75,48049,22136,25913,90.78,97.18
19,Nuevo León,80,30455,13075,17380,82.50,123.53
19,Nuevo León,85,23733,9562,14171,42.79,74.86
19,Nuevo León,NE,63042,31616,31426,31.82,31.07
20,Oaxaca,0,373371,189157,184214,162.05,243.53
20,Oaxaca,5,399632,201833,197799,101.27,76.09
20,Oaxaca,10,414392,209447,204945,104.15,97.19
20,Oaxaca,15,406873,200381,206492,113.05,116.55
20,Oaxaca,20,313523,145055,168468,89.84,87.09
20,Oaxaca,25,268969,122545,146424,93.25,98.02
20,Oaxaca,30,259112,117774,141338,100.42,101.55
20,Oaxaca,35,244019,112008,132011,104.53,105.76
20,Oaxaca,40,208666,96524,112142,97.26,94.89
20,Oaxaca,45,187021,86487,100534,100.46,101.29
20,Oaxaca,50,163536,75664,87872,101.10,101.20
20,Oaxaca,55,134078,63189,70889,99.35,99.62
20,Oaxaca,60,110092,51536,58556,98.37,101.91
20,Oaxaca,65,90363,41593,48770,93.70,89.88
20,Oaxaca,70,80884,37246,43638,110.12,115.42
20,Oaxaca,75,55599,26055,29544,97.11,102.09
20,Oaxaca,80,35768,16415,19353,80.12,78.07
20,Oaxaca,85,33463,14920,18543,108.14,247.41
20,Oaxaca,NE,22601,11179,11422,7.29,5.08
21,Puebla,0,574513,291584,282929,179.27,318.74
21,Puebla,5,620386,314122,306264,105.19,75.42
21,Puebla,10,604845,305657,299188,99.69,92.91
21,Puebla,15,604094,299098,304996,109.39,111.83
21,Puebla,20,511685,241187,270498,95.95,94.44
21,Puebla,25,441558,203626,237932,93.81,95.80
21,Puebla,30,420492,192949,227543,99.89,99.91
21,Puebla,35,394961,182690,212271,106.16,107.87
21,Puebla,40,328556,151228,177328,96.94,94.57
21,Puebla,45,279425,129308,150117,98.86,99.64
21,Puebla,50,240020,110377,129643,101.49,102.94
21,Puebla,55,188919,88207,100712,98.33,98.81
21,Puebla,60,150565,69041,81524,97.52,100.92
21,Puebla,65,115990,53384,62606,94.95,94.32
21,Puebla,70,96685,43408,53277,103.82,108.20
21,Puebla,75,67019,30238,36781,96.95,105.13
21,Puebla,80,43367,18969,24398,80.63,95.64
21,Puebla,85,40810,16816,23994,71.66,108.15
21,Puebla,NE,55939,27966,27973,51.89,46.79
22,Querétaro,0,178916,90972,87944,150.12,195.54
22,Querétaro,5,183541,93230,90311,101.65,81.50
22,Querétaro,10,182608,92453,90155,99.34,95.08
22,Querétaro,15,187241,92904,94337,107.30,108.91
22,Querétaro,20,168520,80717,87803,97.71,95.56
22,Querétaro,25,153300,72317,80983,97.20,99.01
22,Querétaro,30,145169,68081,77088,98.64,96.19
22,Querétaro,35,138438,65728,72710,107.89,109.97
22,Querétaro,40,114275,53763,60512,97.57,94.60
22,Querétaro,45,93449,44472,48977,98.40,98.30
22,Querétaro,50,76870,36628,40242,102.62,106.20
22,Querétaro,55,56288,26912,29376,94.86,95.27
22,Querétaro,60,42991,20110,22881,96.52,102.43
22,Querétaro,65,31562,14757,16805,93.60,94.14
22,Querétaro,70,24701,11421,13280,102.34,109.01
22,Querétaro,75,16494,7562,8932,94.16,103.27
22,Querétaro,80,10760,4641,6119,80.02,95.96
22,Querétaro,85,9873,4038,5835,72.61,148.04
22,Querétaro,NE,12941,6482,6459,18.07,13.67
23,Quintana Roo,0,133228,67703,65525,191.70,327.28
23,Quintana Roo,5,126996,64151,62845,99.08,69.02
23,Quintana Roo,10,121308,61790,59518,95.38,95.63
23,Quintana Roo,15,128650,65411,63239,100.39,100.44
23,Quintana Roo,20,135549,68519,67030,104.53,103.41
23,Quintana Roo,25,130616,65694,64922,101.77,99.96
23,Quintana Roo,30,120654,60588,60066,99.09,94.78
23,Quintana Roo,35,111169,56596,54573,107.32,107.84
23,Quintana Roo,40,86941,44886,42055,99.93,98.64
23,Quintana Roo,45,64630,33236,31394,95.30,96.37
23,Quintana Roo,50,48629,24865,23764,97.84,103.11
23,Quintana Roo,55,34052,17591,16461,94.48,96.99
23,Quintana Roo,60,24478,12373,12105,96.99,105.82
23,Quintana Roo,65,15430,7924,7506,88.82,91.27
23,Quintana Roo,70,10761,5469,5292,97.66,109.38
23,Quintana Roo,75,6453,3276,3177,89.75,104.18
23,Quintana Roo,80,3639,1831,1808,74.64,126.45
23,Quintana Roo,85,3204,1630,1574,28.30,62.98
23,Quintana Roo,NE,19191,9687,9504,15.24,15.20
24,San Luis Potosí,0,247057,125473,121584,172.22,289.54
24,San Luis Potosí,5,268914,136027,132887,103.72,75.95
24,San Luis Potosí,10,270154,136835,133319,100.90,93.75
24,San Luis Potosí,15,269673,135204,134469,111.54,114.17
24,San Luis Potosí,20,219720,105606,114114,94.49,92.42
24,San Luis Potosí,25,189105,88319,100786,92.94,96.24
24,San Luis Potosí,30,180250,84440,95810,98.66,99.16
24,San Luis Potosí,35,175642,82850,92792,106.04,107.18
24,San Luis Potosí,40,152372,71817,80555,99.22,96.90
24,San Luis Potosí,45,131221,61913,69308,98.74,97.85
24,San Luis Potosí,50,112519,53592,58927,102.59,105.29
24,San Luis Potosí,55,87476,42563,44913,96.13,95.02
24,San Luis Potosí,60,72960,34958,38002,99.75,105.45
24,San Luis Potosí,65,56671,27526,29145,93.06,89.22
24,San Luis Potosí,70,50213,24200,26013,108.85,115.21
24,San Luis Potosí,75,34695,16937,17758,95.91,98.95
24,San Luis Potosí,80,23325,11118,12207,85.00,96.31
24,San Luis Potosí,85,20112,9223,10889,80.61,157.96
24,San Luis Potosí,NE,23439,11765,11674,17.06,13.32
25,Sinaloa,0,252443,128664,123779,175.68,297.11
25,Sinaloa,5,264538,134710,129828,101.19,73.29
25,Sinaloa,10,270555,137580,132975,100.45,96.31
25,Sinaloa,15,275540,139206,136334,107.41,106.73
25,Sinaloa,20,242907,121634,121273,100.82,101.41
25,Sinaloa,25,207840,102082,105758,91.44,91.28
25,Sinaloa,30,207002,101645,105357,99.52,99.49
25,Sinaloa,35,207622,102184,105438,108.62,109.37
25,Sinaloa,40,176453,86505,89948,99.10,96.49
25,Sinaloa,45,149915,72394,77521,96.79,96.14
25,Sinaloa,50,131472,63091,68381,102.23,104.99
25,Sinaloa,55,103936,51030,52906,97.97,97.30
25,Sinaloa,60,83594,41082,42512,99.15,102.25
25,Sinaloa,65,64032,31842,32190,95.95,93.13
25,Sinaloa,70,51023,25289,25734,106.92,114.94
25,Sinaloa,75,31659,15461,16198,90.11,96.83
25,Sinaloa,80,19463,9028,10435,79.20,82.68
25,Sinaloa,85,16954,7338,9616,101.47,232.63
25,Sinaloa,NE,10813,5436,5377,8.04,5.61
26,Sonora,0,250969,127915,123054,185.34,335.97
26,Sonora,5,259950,132598,127352,102.29,71.54
26,Sonora,10,256883,131336,125547,100.64,97.71
26,Sonora,15,251510,128406,123104,103.70,103.43
26,Sonora,20,228147,116320,111827,99.87,100.39
26,Sonora,25,207251,104540,102711,95.27,95.43
