estado,edad,Poblacion,hombres,mujeres
Total,0,10047365,5077482,4969883
Total,5,10764379,5453091,5311288
Total,10,10943540,5554260,5389280
Total,15,10806690,5462150,5344540
Total,20,10422095,5165884,5256211
Total,25,9993001,4861404,5131597
Total,30,9420827,4527726,4893101
Total,35,9020276,4331530,4688746
Total,40,8503586,4062304,4441282
Total,45,7942413,3812344,4130069
Total,50,7037532,3332163,3705369
Total,55,5695958,2692976,3002982
Total,60,4821062,2257862,2563200
Total,65,3645077,1706850,1938227
Total,70,2647340,1233492,1413848
Total,75,1814582,847898,966684
Total,80,1175364,523812,651552
Total,85,1039551,433968,605583
Total,NE,273386,136194,137192
Aguascalientes,0,124430,62978,61452
Aguascalientes,5,131048,66359,64689
Aguascalientes,10,129717,66080,63637
Aguascalientes,15,131967,66903,65064
Aguascalientes,20,127020,63154,63866
Aguascalientes,25,118426,58141,60285
Aguascalientes,30,106825,51651,55174
Aguascalientes,35,99257,47774,51483
Aguascalientes,40,92378,43839,48539
Aguascalientes,45,84669,40163,44506
Aguascalientes,50,74121,34611,39510
Aguascalientes,55,58865,27608,31257
Aguascalientes,60,48306,22435,25871
Aguascalientes,65,35823,16698,19125
Aguascalientes,70,25586,11782,13804
Aguascalientes,75,16581,7739,8842
Aguascalientes,80,10186,4397,5789
Aguascalientes,85,8894,3622,5272
Aguascalientes,NE,1508,749,759
Baja California,0,266301,134410,131891
Baja California,5,299654,152609,147045
Baja California,10,312348,159306,153042
Baja California,15,315639,161298,154341
Baja California,20,340359,173450,166909
Baja California,25,328244,166250,161994
Baja California,30,302389,152164,150225
Baja California,35,292069,148169,143900
Baja California,40,273611,138332,135279
Baja California,45,260844,134187,126657
Baja California,50,221388,112789,108599
Baja California,55,168653,84778,83875
Baja California,60,134022,65287,68735
Baja California,65,94704,44982,49722
Baja California,70,65425,30812,34613
Baja California,75,40874,18833,22041
Baja California,80,25204,11060,14144
Baja California,85,19073,7777,11296
Baja California,NE,8219,4096,4123
Baja California Sur,0,62455,31479,30976
Baja California Sur,5,66933,33962,32971
Baja California Sur,10,67665,34455,33210
Baja California Sur,15,65469,33788,31681
Baja California Sur,20,66743,34418,32325
Baja California Sur,25,68798,35046,33752
Baja California Sur,30,67779,34653,33126
Baja California Sur,35,64927,33289,31638
Baja California Sur,40,59389,30390,28999
Baja California Sur,45,51771,26718,25053
Baja California Sur,50,43337,21910,21427
Baja California Sur,55,33731,16905,16826
Baja California Sur,60,27095,13415,13680
Baja California Sur,65,19274,9587,9687
Baja California Sur,70,12545,6165,6380
Baja California Sur,75,8166,3984,4182
Baja California Sur,80,4649,2134,2515
Baja California Sur,85,3879,1668,2211
Baja California Sur,NE,3842,1913,1929
Campeche,0,78935,39817,39118
Campeche,5,82015,41624,40391
Campeche,10,80168,41047,39121
Campeche,15,76140,38468,37672
Campeche,20,75556,37277,38279
Campeche,25,72798,35046,37752
Campeche,30,72709,34557,38152
Campeche,35,70275,33611,36664
Campeche,40,64170,30761,33409
Campeche,45,57628,28036,29592
Campeche,50,50254,24392,25862
Campeche,55,40805,19857,20948
Campeche,60,32778,16020,16758
Campeche,65,25796,12530,13266
Campeche,70,17559,8668,8891
Campeche,75,11916,5984,5932
Campeche,80,7536,3718,3818
Campeche,85,7031,3376,3655
Campeche,NE,4294,2150,2144
Coahuila de Zaragoza,0,279912,141812,138100
Coahuila de Zaragoza,5,276224,140417,135807
Coahuila de Zaragoza,10,268144,136301,131843
Coahuila de Zaragoza,15,269284,136850,132434
Coahuila de Zaragoza,20,264313,133659,130654
Coahuila de Zaragoza,25,245917,122570,123347
Coahuila de Zaragoza,30,224329,110882,113447
Coahuila de Zaragoza,35,219634,109371,110263
Coahuila de Zaragoza,40,218687,106991,111696
Coahuila de Zaragoza,45,205202,100846,104356
Coahuila de Zaragoza,50,178214,86423,91791
Coahuila de Zaragoza,55,142215,69115,73100
Coahuila de Zaragoza,60,118950,57307,61643
Coahuila de Zaragoza,65,84422,40630,43792
Coahuila de Zaragoza,70,61684,29458,32226
Coahuila de Zaragoza,75,39801,18836,20965
Coahuila de Zaragoza,80,24851,11199,13652
Coahuila de Zaragoza,85,18829,7928,10901
Coahuila de Zaragoza,NE,6159,3074,3085
Colima,0,52313,26532,25781
Colima,5,60049,30646,29403
Colima,10,60801,30952,29849
Colima,15,60663,30667,29996
Colima,20,59343,29637,29706
Colima,25,58035,28584,29451
Colima,30,57436,27688,29748
Colima,35,54566,26634,27932
Colima,40,51179,24786,26393
Colima,45,47133,23147,23986
Colima,50,41541,20037,21504
Colima,55,34819,16843,17976
Colima,60,29795,14473,15322
Colima,65,22071,10602,11469
Colima,70,16086,7710,8376
Colima,75,10803,5101,5702
Colima,80,6859,3103,3756
Colima,85,5943,2505,3438
Colima,NE,1956,975,981
Chiapas,0,574152,288911,285241
Chiapas,5,612792,308758,304034
Chiapas,10,583132,295114,288018
Chiapas,15,526577,262521,264056
Chiapas,20,464523,223732,240791
Chiapas,25,424403,198455,225948
Chiapas,30,396045,184761,211284
Chiapas,35,372863,174270,198593
Chiapas,40,329204,156472,172732
Chiapas,45,284333,135809,148524
Chiapas,50,243848,117157,126691
Chiapas,55,196355,94905,101450
Chiapas,60,158726,77668,81058
Chiapas,65,125777,62035,63742
Chiapas,70,85855,43119,42736
Chiapas,75,63158,31971,31187
Chiapas,80,38245,19047,19198
Chiapas,85,35996,17341,18655
Chiapas,NE,27844,13901,13943
Chihuahua,0,291286,147610,143676
Chihuahua,5,317322,161182,156140
Chihuahua,10,333715,169615,164100
Chihuahua,15,326333,165942,160391
Chihuahua,20,314067,157281,156786
Chihuahua,25,298299,147844,150455
Chihuahua,30,275644,135649,139995
Chihuahua,35,263669,130612,133057
Chihuahua,40,251983,124354,127629
Chihuahua,45,248522,123238,125284
Chihuahua,50,219930,107604,112326
Chihuahua,55,173639,84028,89611
Chihuahua,60,140861,66530,74331
Chihuahua,65,100944,47253,53691
Chihuahua,70,74018,34187,39831
Chihuahua,75,50265,23473,26792
Chihuahua,80,31387,14273,17114
Chihuahua,85,22346,9334,13012
Chihuahua,NE,7639,3813,3826
Ciudad de México,0,479904,242877,237027
Ciudad de México,5,563907,286280,277627
Ciudad de México,10,608962,309140,299822
Ciudad de México,15,650389,331109,319280
Ciudad de México,20,714605,359049,355556
Ciudad de México,25,752289,372081,380208
Ciudad de México,30,743611,363448,380163
Ciudad de México,35,705850,340545,365305
Ciudad de México,40,670307,317312,352995
Ciudad de México,45,668945,313846,355099
Ciudad de México,50,623483,286394,337089
Ciudad de México,55,526447,239651,286796
Ciudad de México,60,469514,209065,260449
Ciudad de México,65,356196,157245,198951
Ciudad de México,70,267744,115130,152614
Ciudad de México,75,175215,74210,101005
Ciudad de México,80,117480,46094,71386
Ciudad de México,85,105470,36668,68802
Ciudad de México,NE,9626,4783,4843
Durango,0,167600,85081,82519
Durango,5,176033,89816,86217
Durango,10,170271,86764,83507
Durango,15,162990,82839,80151
Durango,20,153588,76936,76652
Durango,25,141107,69038,72069
Durango,30,129526,63232,66294
Durango,35,118830,57634,61196
Durango,40,114976,55778,59198
Durango,45,108070,52309,55761
Durango,50,97009,45980,51029
Durango,55,79997,37971,42026
Durango,60,66536,31635,34901
Durango,65,49727,23758,25969
Durango,70,36956,17758,19198
Durango,75,25689,12593,13096
Durango,80,17026,8058,8968
Durango,85,13544,6110,7434
Durango,NE,3175,1576,1599
Guanajuato,0,538846,272745,266101
Guanajuato,5,547545,277429,270116
Guanajuato,10,549301,278676,270625
Guanajuato,15,552092,277977,274115
Guanajuato,20,540587,267148,273439
Guanajuato,25,501868,242026,259842
Guanajuato,30,462332,218363,243969
Guanajuato,35,439045,208278,230767
Guanajuato,40,407230,192549,214681
Guanajuato,45,365660,174419,191241
Guanajuato,50,318197,148310,169887
Guanajuato,55,250808,116934,133874
Guanajuato,60,214406,99483,114923
Guanajuato,65,161765,75898,85867
Guanajuato,70,118285,55393,62892
Guanajuato,75,81110,38242,42868
Guanajuato,80,54366,24455,29911
Guanajuato,85,51442,22123,29319
Guanajuato,NE,12049,6006,6043
Guerrero,0,335458,169332,166126
Guerrero,5,351010,177163,173847
Guerrero,10,348493,176233,172260
Guerrero,15,326540,162620,163920
Guerrero,20,281967,133690,148277
Guerrero,25,256191,118352,137839
Guerrero,30,237976,109644,128332
Guerrero,35,222157,102989,119168
Guerrero,40,209120,97642,111478
Guerrero,45,190778,89571,101207
Guerrero,50,174072,80393,93679
Guerrero,55,148972,69264,79708
Guerrero,60,126765,59295,67470
Guerrero,65,104196,48671,55525
Guerrero,70,77444,36646,40798
Guerrero,75,58071,27472,30599
Guerrero,80,39210,17897,21313
Guerrero,85,37848,16542,21306
Guerrero,NE,14417,7196,7221
Hidalgo,0,238189,120314,117875
Hidalgo,5,269553,136027,133526
Hidalgo,10,283676,143492,140184
Hidalgo,15,272506,137426,135080
Hidalgo,20,238187,116241,121946
Hidalgo,25,231124,108338,122786
Hidalgo,30,224226,102706,121520
Hidalgo,35,221410,101835,119575
Hidalgo,40,211048,97725,113323
Hidalgo,45,194567,91193,103374
Hidalgo,50,171679,79935,91744
Hidalgo,55,139795,65244,74551
Hidalgo,60,118929,55713,63216
Hidalgo,65,93011,44117,48894
Hidalgo,70,66179,31397,34782
Hidalgo,75,47263,22656,24607
Hidalgo,80,29997,13534,16463
Hidalgo,85,28296,11898,16398
Hidalgo,NE,3206,1588,1618
Jalisco,0,670983,339122,331861
Jalisco,5,718100,363911,354189
Jalisco,10,714906,364020,350886
Jalisco,15,716259,362796,353463
Jalisco,20,704359,351982,352377
Jalisco,25,668334,331070,337264
Jalisco,30,639006,312917,326089
Jalisco,35,602903,295336,307567
Jalisco,40,549859,266310,283549
Jalisco,45,511537,248266,263271
Jalisco,50,444689,210067,234622
Jalisco,55,357080,167535,189545
Jalisco,60,313011,144991,168020
Jalisco,65,240553,111583,128970
Jalisco,70,181420,84464,96956
Jalisco,75,120885,56892,63993
Jalisco,80,76495,33970,42525
Jalisco,85,66721,27720,39001
Jalisco,NE,51051,25503,25548
México,0,1276386,644777,631609
México,5,1381132,699573,681559
México,10,1464549,740376,724173
México,15,1476665,747531,729134
México,20,1415159,705458,709701
México,25,1367527,667933,699594
México,30,1283264,615018,668246
México,35,1254296,596686,657610
México,40,1197089,563714,633375
México,45,1145882,542558,603324
México,50,1007077,473362,533715
México,55,795711,373977,421734
México,60,661100,307001,354099
México,65,475398,221241,254157
México,70,330905,152248,178657
México,75,212562,97227,115335
México,80,130480,56251,74229
México,85,109009,42337,66672
México,NE,8227,4027,4200
Michoacán de Ocampo,0,429837,216825,213012
Michoacán de Ocampo,5,441618,223382,218236
Michoacán de Ocampo,10,426869,215932,210937
Michoacán de Ocampo,15,407743,204821,202922
Michoacán de Ocampo,20,390431,191587,198844
Michoacán de Ocampo,25,367568,176271,191297
Michoacán de Ocampo,30,345272,162946,182326
Michoacán de Ocampo,35,318438,151597,166841
Michoacán de Ocampo,40,299299,142585,156714
Michoacán de Ocampo,45,270544,129380,141164
Michoacán de Ocampo,50,243599,113217,130382
Michoacán de Ocampo,55,202399,94210,108189
Michoacán de Ocampo,60,178844,83238,95606
Michoacán de Ocampo,65,140009,66427,73582
Michoacán de Ocampo,70,106332,50515,55817
Michoacán de Ocampo,75,74938,35694,39244
Michoacán de Ocampo,80,51154,23473,27681
Michoacán de Ocampo,85,50422,22495,27927
Michoacán de Ocampo,NE,3530,1746,1784
Morelos,0,145439,73680,71759
Morelos,5,158935,80637,78298
Morelos,10,164177,83391,80786
Morelos,15,166654,84628,82026
Morelos,20,162146,79566,82580
Morelos,25,154595,74612,79983
Morelos,30,143404,67970,75434
Morelos,35,135994,63749,72245
Morelos,40,130539,60716,69823
Morelos,45,124378,58030,66348
Morelos,50,114284,52588,61696
Morelos,55,96124,44357,51767
Morelos,60,84475,39123,45352
Morelos,65,65650,30758,34892
Morelos,70,47846,22462,25384
Morelos,75,33189,15608,17581
Morelos,80,21954,9791,12163
Morelos,85,20789,8722,12067
Morelos,NE,948,459,489
Nayarit,0,103601,52602,50999
Nayarit,5,113942,58000,55942
Nayarit,10,113335,57726,55609
Nayarit,15,104256,52792,51464
Nayarit,20,97500,48537,48963
Nayarit,25,92542,45237,47305
Nayarit,30,90577,43990,46587
Nayarit,35,85180,41559,43621
Nayarit,40,81357,39971,41386
Nayarit,45,75138,37298,37840
Nayarit,50,64958,31691,33267
Nayarit,55,54507,26262,28245
Nayarit,60,47698,22763,24935
Nayarit,65,37876,18563,19313
Nayarit,70,27774,13560,14214
Nayarit,75,19910,9792,10118
Nayarit,80,13039,6345,6694
Nayarit,85,11098,5018,6080
Nayarit,NE,1168,572,596
Nuevo León,0,454909,229807,225102
Nuevo León,5,463819,235679,228140
Nuevo León,10,462720,235404,227316
Nuevo León,15,471896,240241,231655
Nuevo León,20,503826,255533,248293
Nuevo León,25,488349,248479,239870
Nuevo León,30,448470,227051,221419
Nuevo León,35,426619,215999,210620
Nuevo León,40,409490,204944,204546
Nuevo León,45,387678,194154,193524
Nuevo León,50,334439,164492,169947
Nuevo León,55,260045,126971,133074
Nuevo León,60,217238,103697,113541
Nuevo León,65,154408,72766,81642
Nuevo León,70,115822,53640,62182
Nuevo León,75,77327,35523,41804
Nuevo León,80,50350,22069,28281
Nuevo León,85,38905,15452,23453
Nuevo León,NE,18132,9049,9083
Oaxaca,0,359853,181303,178550
Oaxaca,5,388759,195501,193258
Oaxaca,10,398362,201586,196776
Oaxaca,15,358708,178973,179735
Oaxaca,20,310307,147137,163170
Oaxaca,25,307124,141381,165743
Oaxaca,30,289279,132924,156355
Oaxaca,35,276496,127897,148599
Oaxaca,40,259478,120384,139094
Oaxaca,45,233971,108738,125233
Oaxaca,50,210438,96862,113576
Oaxaca,55,179408,83007,96401
Oaxaca,60,155780,72135,83645
Oaxaca,65,127194,58872,68322
Oaxaca,70,93692,43728,49964
Oaxaca,75,73118,34298,38820
Oaxaca,80,50714,23170,27544
Oaxaca,85,50079,22279,27800
Oaxaca,NE,9388,4668,4720
Puebla,0,578779,292266,286513
Puebla,5,598550,302188,296362
Puebla,10,603375,305853,297522
Puebla,15,607200,305827,301373
Puebla,20,570646,279374,291272
Puebla,25,528289,251899,276390
Puebla,30,475854,221145,254709
Puebla,35,457864,212520,245344
Puebla,40,425089,196550,228539
Puebla,45,382865,178206,204659
Puebla,50,334597,153039,181558
Puebla,55,269080,123605,145475
Puebla,60,229364,104369,124995
Puebla,65,177876,80892,96984
Puebla,70,128374,58004,70370
Puebla,75,91494,41799,49695
Puebla,80,60354,26102,34252
Puebla,85,57957,23655,34302
Puebla,NE,5671,2822,2849
Querétaro,0,187893,94523,93370
Querétaro,5,196969,99958,97011
Querétaro,10,198601,100847,97754
Querétaro,15,198141,99841,98300
Querétaro,20,209039,104347,104692
Querétaro,25,214139,105543,108596
Querétaro,30,194576,94293,100283
Querétaro,35,182743,87967,94776
Querétaro,40,165728,79318,86410
Querétaro,45,149832,71841,77991
Querétaro,50,125857,59009,66848
Querétaro,55,97903,46132,51771
Querétaro,60,80729,37769,42960
Querétaro,65,57833,26736,31097
Querétaro,70,40979,18799,22180
Querétaro,75,27417,12516,14901
Querétaro,80,17321,7578,9743
Querétaro,85,15943,6403,9540
Querétaro,NE,6824,3400,3424
Quintana Roo,0,147731,75158,72573
Quintana Roo,5,155388,78621,76767
Quintana Roo,10,154281,78464,75817
Quintana Roo,15,147549,74516,73033
Quintana Roo,20,164989,83186,81803
Quintana Roo,25,184447,93034,91413
Quintana Roo,30,175133,88048,87085
Quintana Roo,35,161472,81665,79807
Quintana Roo,40,136731,68835,67896
Quintana Roo,45,117045,59554,57491
Quintana Roo,50,94160,47616,46544
Quintana Roo,55,66985,33514,33471
Quintana Roo,60,49321,24175,25146
Quintana Roo,65,34204,16738,17466
Quintana Roo,70,21678,10704,10974
Quintana Roo,75,12688,6268,6420
Quintana Roo,80,7421,3570,3851
Quintana Roo,85,5740,2612,3128
Quintana Roo,NE,21022,10501,10521
San Luis Potosí,0,230931,116331,114600
San Luis Potosí,5,242727,122972,119755
San Luis Potosí,10,252780,128254,124526
San Luis Potosí,15,253797,127984,125813
San Luis Potosí,20,232129,113430,118699
San Luis Potosí,25,220964,106032,114932
San Luis Potosí,30,204288,96754,107534
San Luis Potosí,35,191969,90728,101241
San Luis Potosí,40,180174,85394,94780
San Luis Potosí,45,169453,80668,88785
San Luis Potosí,50,153736,72445,81291
San Luis Potosí,55,125766,59294,66472
San Luis Potosí,60,107635,51031,56604
San Luis Potosí,65,82236,39217,43019
San Luis Potosí,70,63157,30156,33001
San Luis Potosí,75,45985,22290,23695
San Luis Potosí,80,32252,14922,17330
San Luis Potosí,85,30334,13585,16749
San Luis Potosí,NE,1942,964,978
Sinaloa,0,236236,120045,116191
Sinaloa,5,250496,127811,122685
Sinaloa,10,260172,132511,127661
Sinaloa,15,261581,132551,129030
Sinaloa,20,256990,127976,129014
Sinaloa,25,232316,113467,118849
Sinaloa,30,215491,105280,110211
Sinaloa,35,205540,100764,104776
Sinaloa,40,204309,99977,104332
Sinaloa,45,192589,94386,98203
Sinaloa,50,172094,83272,88822
Sinaloa,55,143385,68641,74744
Sinaloa,60,123628,58938,64690
Sinaloa,65,95056,45164,49892
Sinaloa,70,70677,34107,36570
Sinaloa,75,49051,23904,25147
Sinaloa,80,30957,14451,16506
Sinaloa,85,24150,10462,13688
Sinaloa,NE,2225,1108,1117
Sonora,0,218345,110604,107741
Sonora,5,246711,125202,121509
Sonora,10,258791,132191,126600
Sonora,15,255716,130755,124961
Sonora,20,247003,125586,121417
Sonora,25,227896,114152,113744
Sonora,30,215004,107455,107549
Sonora,35,207000,103839,103161
Sonora,40,203895,101577,102318
Sonora,45,192181,96274,95907
Sonora,50,170705,84122,86583
Sonora,55,140464,68807,71657
Sonora,60,121603,58841,62762
Sonora,65,87708,42358,45350
Sonora,70,61882,29386,32496
Sonora,75,41519,19677,21842
Sonora,80,26144,11839,14305
Sonora,85,19548,8168,11380
Sonora,NE,2725,1364,1361
Tabasco,0,206877,104669,102208
Tabasco,5,224058,113706,110352
Tabasco,10,222698,113492,109206
Tabasco,15,208660,105289,103371
Tabasco,20,188555,91925,96630
Tabasco,25,180324,85425,94899
Tabasco,30,181427,85667,95760
Tabasco,35,179476,84231,95245
Tabasco,40,167602,79123,88479
Tabasco,45,147298,70224,77074
Tabasco,50,130575,62842,67733
Tabasco,55,106647,51906,54741
Tabasco,60,84886,41416,43470
Tabasco,65,64809,31582,33227
Tabasco,70,41845,20321,21524
Tabasco,75,29521,14369,15152
Tabasco,80,18674,8952,9722
Tabasco,85,17790,8100,9690
Tabasco,NE,876,432,444
Tamaulipas,0,271340,137176,134164
Tamaulipas,5,294344,149315,145029
Tamaulipas,10,305853,155866,149987
Tamaulipas,15,294950,149235,145715
Tamaulipas,20,284064,142117,141947
Tamaulipas,25,267261,131093,136168
Tamaulipas,30,256845,125288,131557
Tamaulipas,35,257220,125261,131959
Tamaulipas,40,248637,120639,127998
Tamaulipas,45,236202,115498,120704
Tamaulipas,50,211394,102541,108853
Tamaulipas,55,167744,81176,86568
Tamaulipas,60,139900,66775,73125
Tamaulipas,65,100333,47520,52813
Tamaulipas,70,73616,33955,39661
Tamaulipas,75,50993,23565,27428
Tamaulipas,80,33702,14783,18919
Tamaulipas,85,27683,11517,16166
Tamaulipas,NE,5654,2820,2834
Tlaxcala,0,110460,55685,54775
Tlaxcala,5,117738,59685,58053
Tlaxcala,10,119718,60747,58971
Tlaxcala,15,121207,61532,59675
Tlaxcala,20,113937,56738,57199
Tlaxcala,25,104758,50890,53868
Tlaxcala,30,96512,45384,51128
Tlaxcala,35,94896,43586,51310
Tlaxcala,40,89448,41550,47898
Tlaxcala,45,80395,37282,43113
Tlaxcala,50,70782,32540,38242
Tlaxcala,55,56315,26186,30129
Tlaxcala,60,46505,21684,24821
Tlaxcala,65,33958,15919,18039
Tlaxcala,70,24495,11325,13170
Tlaxcala,75,17367,8240,9127
Tlaxcala,80,11591,5335,6256
Tlaxcala,85,11970,5167,6803
Tlaxcala,NE,20925,10419,10506
Veracruz de Ignacio de la Llave,0,600253,303113,297140
Veracruz de Ignacio de la Llave,5,675182,342335,332847
Veracruz de Ignacio de la Llave,10,685468,347680,337788
Veracruz de Ignacio de la Llave,15,681548,344153,337395
Veracruz de Ignacio de la Llave,20,600394,292359,308035
Veracruz de Ignacio de la Llave,25,580421,272684,307737
Veracruz de Ignacio de la Llave,30,568121,263409,304712
Veracruz de Ignacio de la Llave,35,558791,258605,300186
Veracruz de Ignacio de la Llave,40,537667,247288,290379
Veracruz de Ignacio de la Llave,45,516152,240159,275993
Veracruz de Ignacio de la Llave,50,488510,227672,260838
Veracruz de Ignacio de la Llave,55,408710,192522,216188
Veracruz de Ignacio de la Llave,60,347850,162999,184851
Veracruz de Ignacio de la Llave,65,279233,130731,148502
Veracruz de Ignacio de la Llave,70,203156,95435,107721
Veracruz de Ignacio de la Llave,75,145737,68964,76773
Veracruz de Ignacio de la Llave,80,95232,43082,52150
Veracruz de Ignacio de la Llave,85,86684,36877,49807
Veracruz de Ignacio de la Llave,NE,3470,1707,1763
Yucatán,0,175986,89335,86651
Yucatán,5,186122,93902,92220
Yucatán,10,189137,95833,93304
Yucatán,15,196363,99417,96946
Yucatán,20,199525,100085,99440
Yucatán,25,190975,94526,96449
Yucatán,30,183035,89203,93832
Yucatán,35,174099,84877,89222
Yucatán,40,161231,77759,83472
Yucatán,45,146033,70247,75786
Yucatán,50,122358,57886,64472
Yucatán,55,103183,48826,54357
Yucatán,60,86773,40883,45890
Yucatán,65,72318,34270,38048
Yucatán,70,53224,25378,27846
Yucatán,75,35612,17163,18449
Yucatán,80,22476,10519,11957
Yucatán,85,18632,8274,10358
Yucatán,NE,3816,1896,1920
Zacatecas,0,151745,76563,75182
Zacatecas,5,155704,78441,77263
Zacatecas,10,151355,76912,74443
Zacatecas,15,141208,70860,70348
Zacatecas,20,130238,63289,66949
Zacatecas,25,117673,55905,61768
Zacatecas,30,114442,53586,60856
Zacatecas,35,104728,49653,55075
Zacatecas,40,102682,48739,53943
Zacatecas,45,95118,46099,49019
Zacatecas,50,86207,40965,45242
Zacatecas,55,69401,32945,36456
Zacatecas,60,58039,27708,30331
Zacatecas,65,44719,21507,23212
Zacatecas,70,35100,17080,18020
Zacatecas,75,26357,13015,13342
Zacatecas,80,18058,8641,9417
Zacatecas,85,17506,8233,9273
Zacatecas,NE,1858,917,941
Colima,15,12544,6283,6261
Colima,16,12228,6228,6000
Colima,17,12770,6542,6228
Colima,18,12928,6588,6340
Colima,19,11853,5902,5951
Colima,20,12697,6276,6421
Colima,21,11497,5577,5920
Colima,22,12404,6126,6278
Colima,23,11923,5804,6119
Colima,24,11549,5704,5845
Colima,25,11521,5708,5813
Colima,26,10574,5074,5500
Colima,27,10485,5191,5294
Colima,28,10581,5165,5416
Colima,29,9975,4856,5119
Colima,30,11635,5691,5944
Colima,31,8433,4029,4404
Colima,32,10601,5108,5493
Colima,33,10149,4962,5187
Colima,34,9703,4800,4903
Colima,35,10261,4962,5299
Colima,36,10145,4969,5176
Colima,37,9543,4753,4790
Colima,38,10134,4952,5182
